population,bed,infected,region,prefecture,,
5250,1981,38791,Hokkaido/Tohoku,Hokkaido,,1981
1246,227,2393,Hokkaido/Tohoku,Aomori,,227
1227,350,1472,Hokkaido/Tohoku,Iwate,,350
2306,350,8919,Hokkaido/Tohoku,Miyagi,,350
966,230,760,Hokkaido/Tohoku,Akita,,230
1078,237,1978,Hokkaido/Tohoku,Yamagata,,237
1846,513,4612,Hokkaido/Tohoku,Fukushima,,513
2860,600,9819,Kanto,Ibaraki,,600
1934,448,6427,Kanto,Tochigi,,448
1942,459,7871,Kanto,Gunma,,459
7350,1644,44141,Kanto,Saitama,,1644
6259,1361,37401,Kanto,Chiba,,1361
13921,5594,162421,Kanto,Tokyo,,5594
9198,1790,62108,Kanto,Kanagawa,,1790
2223,555,3266,Chubu,Niigata,,555
1044,500,1900,Chubu,Toyama,,500
1138,435,3799,Chubu,Ishikawa,,435
768,255,1050,Chubu,Fukui,,255
811,305,1571,Chubu,Yamanashi,,305
2049,490,4841,Chubu,Nagano,,490
1987,783,8829,Chubu,Gifu,,783
3644,582,8517,Chubu,Shizuoka,,582
7552,1515,48114,Chubu,Aichi,,1515
1781,433,4983,Kinki,Mie,,433
1414,374,5206,Kinki,Shiga,,374
2583,498,15963,Kinki,Kyoto,,498
8809,2680,100357,Kinki,Osaka,,2680
5466,1151,39989,Kinki,Hyogo,,1151
1330,443,7827,Kinki,Nara,,443
925,470,2633,Kinki,Wakayama,,470
556,323,466,Chugoku,Tottori,,323
674,324,543,Chugoku,Shimane,,324
1890,492,7428,Chugoku,Okayama,,492
2804,704,10866,Chugoku,Hiroshima,,704
1358,527,2960,Chugoku,Yamaguchi,,527
728,234,1632,Shikoku,Tokushima,,234
956,230,2024,Shikoku,Kagawa,,230
1339,218,2722,Shikoku,Ehime,,218
698,226,1539,Shikoku,Kochi,,226
5104,1346,34339,Kyusyu/Okinawa,Fukuoka,,1346
815,365,2515,Kyusyu/Okinawa,Saga,,365
1327,351,2934,Kyusyu/Okinawa,Nagasaki,,351
1748,598,6317,Kyusyu/Okinawa,Kumamoto,,598
1135,438,3420,Kyusyu/Okinawa,Oita,,438
1073,285,3034,Kyusyu/Okinawa,Miyazaki,,285
1602,419,3409,Kyusyu/Okinawa,Kagoshima,,419
1453,610,17808,Kyusyu/Okinawa,Okinawa,,610
